date,trial_num,trial_date,matings,female_age,treatment,vial,trial_start,mating_start,mating_end,male_type,mating_latency,trial_duration,courtship_bouts,mated?,notes,
2023-11-27,3,nov_27,some,18,low,15,9:11:12 AM,NA,NA,glued,,10800,3,,,
2023-11-27,3,nov_27,some,18,medium,15,9:11:24 AM,NA,NA,glued,,10800,0,,,
2023-11-27,3,nov_27,some,18,high,15,9:11:36 AM,11:01:15 AM,11:18:24 AM,normal,6579,7608,5,y,,
2023-11-27,3,nov_27,some,18,low,16,9:12:20 AM,NA,NA,glued,,10800,0,,,
2023-11-27,3,nov_27,some,18,medium,16,9:12:35 AM,NA,NA,glued,,10800,4,,,
2023-11-27,3,nov_27,some,18,high,16,9:12:49 AM,12:09:51 PM,12:31:35 PM,normal,10622,11926,5,y,,
2023-11-27,3,nov_27,some,18,low,17,9:13:29 AM,NA,NA,glued,,10800,0,,,
2023-11-27,3,nov_27,some,18,medium,17,9:13:29 AM,NA,NA,glued,,10800,0,,,
2023-11-27,3,nov_27,some,18,high,17,9:13:57 AM,9:36:55 AM,9:53:05 AM,normal,1378,2348,1,y,,
2023-11-27,3,nov_27,some,18,low,18,9:14:10 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,18,9:14:34 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,18,9:14:54 AM,,,normal,,10800,1,,,
2023-11-27,3,nov_27,some,18,low,19,9:15:20 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,medium,19,9:15:33 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,19,9:15:59 AM,,,normal,,10800,1,,,
2023-11-27,3,nov_27,some,18,low,20,9:16:38 AM,NA,NA,glued,,10800,3,,,
2023-11-27,3,nov_27,some,18,medium,20,9:16:44 AM,NA,NA,glued,,10800,5,,,
2023-11-27,3,nov_27,some,18,high,20,9:16:55 AM,11:49:48 AM,12:03:09 PM,normal,9173,9974,5,y,,
2023-11-29,4,nov_29,all,20,medium,1,9:03:21 AM,9:41:13 AM,9:55:37 AM,normal,2272,3136,0,y,temp = 24.2,LIVE COUNT
2023-11-29,4,nov_29,all,20,high,1,9:03:52 AM,10:10:19 AM,10:28:53 AM,normal,3987,5101,5,y,humidity = 32%,38
2023-11-29,4,nov_29,all,20,low,1,9:04:04 AM,9:21:13 AM,9:41:24 AM,normal,1029,2240,1,y,,13
2023-11-29,4,nov_29,all,20,medium,2,9:04:14 AM,9:33:59 AM,9:49:34 AM,normal,1785,2720,1,y,,7
2023-11-29,4,nov_29,all,20,high,2,9:04:26 AM,,,normal,,10800,2,,,18
2023-11-29,4,nov_29,all,20,low,2,9:05:06 AM,9:15:30 AM,9:35:41 AM,normal,624,1835,1,y,,
2023-11-29,4,nov_29,all,20,medium,3,9:05:12 AM,9:49:41 AM,10:09:45 AM,normal,2669,3873,1,y,,
2023-11-29,4,nov_29,all,20,high,3,9:04:56 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,3,dead,,,normal,,10800,NA,,,
2023-11-29,4,nov_29,all,20,medium,4,9:05:31 AM,11:36:13 AM,11:46:12 AM,normal,9042,9641,5,y,,
2023-11-29,4,nov_29,all,20,high,4,9:05:41 AM,12:04:58 PM,12:24:58 PM,normal,10757,11957,5,y,,
2023-11-29,4,nov_29,all,20,low,4,9:05:47 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,medium,5,9:05:57 AM,10:18:11 AM,10:34:15 AM,normal,4334,5298,5,y,,
2023-11-29,4,nov_29,all,20,high,5,9:06:20 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,5,9:06:38 AM,9:12:30 AM,9:27:19 AM,normal,352,1241,1,y,,
2023-11-29,4,nov_29,all,20,medium,6,9:06:58 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,high,6,9:07:12 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,6,9:07:44 AM,9:14:54 AM,9:33:37 AM,normal,430,1553,1,y,,
2023-11-29,4,nov_29,all,20,medium,7,9:07:44 AM,9:12:49 AM,9:33:46 AM,normal,305,1562,1,y,,
2023-11-29,4,nov_29,all,20,high,7,9:08:06 AM,,,normal,,10800,2,,,
2023-11-29,4,nov_29,all,20,low,7,9:08:29 AM,10:59:05 AM,11:17:08 AM,normal,6636,7719,5,y,,
2023-11-29,4,nov_29,all,20,medium,8,9:08:40 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,high,8,9:08:56 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,8,9:09:05 AM,9:17:18 AM,9:27:36 AM,normal,493,1111,0,y,,
2023-11-29,4,nov_29,all,20,medium,9,9:09:32 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,high,9,9:09:54 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,9,9:10:04 AM,9:13:24 AM,9:50:03 AM,normal,200,2399,1,y,"missed end time, was around 8's (low) end though",
2023-11-29,4,nov_29,all,20,medium,10,9:10:13 AM,10:25:41 AM,10:42:15 AM,normal,4528,5522,5,y,,
2023-11-29,4,nov_29,all,20,high,10,9:11:32 AM,9:20:04 AM,9:38:36 AM,normal,512,1624,0,y,,
2023-11-29,4,nov_29,all,20,low,10,9:11:58 AM,9:21:53 AM,9:43:58 AM,normal,595,1920,0,y,,
2023-11-29,4,nov_29,all,20,medium,11,9:12:19 AM,,,normal,,10800,0,,,
2023-11-29,4,nov_29,all,20,high,11,9:12:39 AM,10:33:11 AM,10:47:06 AM,normal,4832,5667,3,y,,
2023-11-29,4,nov_29,all,20,low,11,9:13:00 AM,9:20:23 AM,9:39:56 AM,normal,443,1616,0,y,,
2023-11-29,4,nov_29,all,20,medium,12,9:13:17 AM,11:36:42 AM,11:54:01 AM,normal,8605,9644,5,y,,
2023-11-29,4,nov_29,all,20,high,12,9:13:42 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,12,9:13:52 AM,9:18:09 AM,9:32:53 AM,normal,257,1141,2,y,,
2023-11-29,4,nov_29,all,20,medium,13,9:14:03 AM,11:42:44 AM,11:58:21 AM,normal,8921,9858,5,y,,
2023-11-29,4,nov_29,all,20,high,13,9:14:14 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,13,9:14:30 AM,9:56:14 AM,10:14:43 AM,normal,2504,3613,1,y,,
2023-11-29,4,nov_29,all,20,medium,14,9:15:08 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,high,14,9:15:21 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,14,9:15:40 AM,9:20:43 AM,9:41:46 AM,normal,303,1566,1,y,,
2023-11-29,4,nov_29,all,20,medium,15,9:16:23 AM,,,normal,,10800,1,,,
2023-11-29,4,nov_29,all,20,high,15,9:16:30 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,15,9:15:55 AM,9:31:01 AM,9:50:58 AM,normal,906,2103,0,y,,
2023-11-29,4,nov_29,all,20,medium,16,9:17:00 AM,11:47:35 AM,11:58:11 AM,normal,9035,9671,5,y,,
2023-11-29,4,nov_29,all,20,high,16,9:18:27 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,low,16,9:17:29 AM,11:54:24 AM,12:20:20 PM,normal,9415,10971,5,y,,
2023-11-29,4,nov_29,all,20,medium,17,9:18:19 AM,10:34:42 AM,10:42:22 AM,normal,4583,5043,1,y,,
2023-11-29,4,nov_29,all,20,high,17,9:17:58 AM,11:23:12 AM,11:37:00 AM,normal,7514,8342,5,y,,
2023-11-29,4,nov_29,all,20,low,17,9:18:34 AM,9:21:44 AM,9:38:58 AM,normal,190,1224,0,y,,
2023-11-29,4,nov_29,all,20,medium,18,9:19:26 AM,11:42:49 AM,11:59:32 AM,normal,8603,9606,5,y,,
2023-11-29,4,nov_29,all,20,high,18,9:19:16 AM,10:51:42 AM,11:08:40 AM,normal,5546,6564,5,y,,
2023-11-29,4,nov_29,all,20,low,18,9:19:32 AM,9:31:27 AM,9:46:09 AM,normal,715,1597,0,y,,
2023-11-29,4,nov_29,all,20,medium,19,9:19:49 AM,,,normal,,10800,5,,,
2023-11-29,4,nov_29,all,20,high,19,9:19:57 AM,,,normal,,10800,2,,,
2023-11-29,4,nov_29,all,20,low,19,9:20:17 AM,9:31:46 AM,9:49:17 AM,normal,689,1740,0,y,,
2023-11-29,4,nov_29,all,20,medium,20,9:20:35 AM,10:08:51 AM,10:29:11 AM,normal,2896,4116,2,y,,
2023-11-29,4,nov_29,all,20,high,20,9:21:00 AM,11:48:38 AM,12:04:08 PM,normal,8858,9788,5,y,,
2023-11-29,4,nov_29,all,20,low,20,9:21:08 AM,9:39:02 AM,9:55:26 AM,normal,1074,2058,0,y,,
2023-12-01,5,dec_01,some,22,high,1,8:59:00 AM,9:32:44 AM,9:53:50 AM,normal,2024,3290,2,y,,24.1 DEG c 
2023-12-01,5,dec_01,some,22,low,1,8:59:40 AM,NA,NA,glued,,10800,3,,,35% RH
2023-12-01,5,dec_01,some,22,medium,1,9:00:10 AM,NA,NA,glued,,10800,3,,,raining outside
2023-12-01,5,dec_01,some,22,high,2,9:00:36 AM,,,normal,,10800,5,,,
2023-12-01,5,dec_01,some,22,low,2,9:01:03 AM,NA,NA,glued,,10800,5,,,
2023-12-01,5,dec_01,some,22,medium,2,9:01:22 AM,NA,NA,glued,,10800,1,,,
2023-12-01,5,dec_01,some,22,high,3,9:02:03 AM,11:53:42 AM,12:16:56 PM,normal,10299,11693,2,y,,
2023-12-01,5,dec_01,some,22,low,3,dead,NA,NA,glued,,10800,NA,,,
2023-12-01,5,dec_01,some,22,medium,3,9:02:06 AM,NA,NA,glued,,10800,5,,,
2023-12-01,5,dec_01,some,22,high,4,9:02:26 AM,,,normal,,10800,5,,,
2023-12-01,5,dec_01,some,22,low,4,9:02:49 AM,NA,NA,glued,,10800,5,,,
2023-12-01,5,dec_01,some,22,medium,4,9:02:58 AM,NA,NA,glued,,10800,5,,,
2023-12-01,5,dec_01,some,22,high,5,9:03:23 AM,,,normal,,10800,1,,,
2023-12-01,5,dec_01,some,22,low,5,9:03:58 AM,NA,NA,glued,,10800,0,,,
2023-12-01,5,dec_01,some,22,medium,5,9:04:01 AM,NA,NA,glued,,10800,5,,,
2023-12-01,5,dec_01,some,22,high,6,9:04:34 AM,9:42:16 AM,10:04:53 AM,normal,2262,3619,1,y,,
2023-12-01,5,dec_01,some,22,low,6,9:05:49 AM,NA,NA,glued,,10800,0,,,
